id,事務所id,名前,本名,別名,生年月日,没年月日,出身地,血液型,身長,方言,最終学歴,師匠,出身,active,activeend,配偶者,親族,弟子,公式サイト,YouTube,
51,128,東朋宏,飛田 朋宏（ひだ ともひろ）,,1976/2/2,,東京都台東区,A型,172 cm,東京方言,高卒,,,1998/1/1,,,東八郎（実父） 東貴博（実兄） 安めぐみ（義姉）,,,,
52,999,東ユースケ,,,,,兵庫県,,,,,,,,,,,,,,
53,117,阿諏訪泰義,,,1983/1/8,,神奈川県高座郡寒川町,O型,170cm,,茅ヶ崎西浜高校,,スクールJCA13期（阿諏訪）,2009/1/1,,,,,https://www.shochikugeino.co.jp/talents/ushirocity/,,
54,108,亜生,三木 亜生（みき あせい）,,1988/7/22,,京都府京都市,A型,173cm,京都弁,東海大学海洋学部,,,2012/1/1,,未婚,上岡龍太郎（母方の伯父）,,,,
55,129,阿曽山大噴火,阿曽 道昭（あそ みちあき）,阿曽ちゃん、阿曽さん（共に別名義）,1974/9/27,,山形県,B型,172cm,共通語,千代田工科芸術専門学校卒業,,,1997/1/1,,,,,https://okw.co.jp/profile/asozan/,,
56,999,あそどっぐ,阿曽太一,,1978/12/29,,佐賀県みやき町,O型,150センチメートル,,福岡県立筑後養護学校赤坂分校,,,2011/1/1,,,,,https://ameblo.jp/asodog/,https://www.youtube.com/user/asodog33,
57,108,安達健太郎,安達 健太郎,,1979/5/14,,大阪府大阪市生野区,AB型,182cm,,奈良育英高校,,NSC大阪校21期,1998/1/1,,既婚（2011年）,,,https://profile.yoshimoto.co.jp/talent/detail?id=308,,
58,135,安達しほり,安達 しほり（あだち しほり）,安達女史 安達あられ 安達しほり（旧芸名）,1977/4/14,,東京都,O型,157cm,,慶應義塾大学環境情報学部卒業,,スクールJCA7期,1999/1/1,,,,,https://www.higashimura15.com/blank23,,
59,85,足立区立OKO,小此木進（おこのぎ すすむ）,,1982/1/28,,東京都足立区,,,,,,,,,,,,,,
60,108,安達裕也,,,,,,,,,,,,,,,,,,,
61,999,ベルナール・アッカ,ベルナール・アッカ,ベル,1972/4/9,,ドイツ,O型,186cm,,,,,2001/1/1,,,,,,,
62,104,厚切りジェイソン,ジェイソン・デイヴィット・ダニエルソン（Jason David Danielson）,,1986/4/9,,アメリカ合衆国 ミシガン州,O or A,186 cm,,イリノイ大学アーバナ・シャンペーン校,,ワタナベコメディスクール19期,2014/1/1,,あり,,,https://www.watanabepro.co.jp/mypage/40000169/,,
63,108,あっぱれコイズミ,小泉 信,,1979/7/13,,神奈川県川崎市,O型,,,武相高等学校卒業,,NSC東京校4期,,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=6672,,
64,68,アナログタロウ,齊藤大典,,1973/8/28,,東京都,AB型,180cm,,,,プライムワン・タレントスクール3期生,2000/1/1,,,,公式プロフィール,,,
65,999,姉御ぉゆりか,非公開,,,,東京都,O型,,,日本大学文理学部,,ワタナベコメディスクール1期,2005/1/1,2014/1/1,,,,,,
66,104,あばれる君,古張 裕起（こばり ひろき）,,1986/9/25,,福島県東白川郡矢祭町,A型,179cm,共通語,駒澤大学法学部卒業,,ワタナベコメディスクール9期,2009/1/1,,既婚（2013年）,,,https://www.watanabepro.co.jp/mypage/40000027/,https://www.youtube.com/channel/UCsUWj7fzOBSyhT_ohEGvZA,
67,88,虻川美穂子,,あぶちゃん,1974/9/11,,埼玉県北葛飾郡杉戸町,A型,169cm,共通語,埼玉県立久喜北陽高等学校,,スクールJCA4期,1995/1/1,,桝谷周一郎（2010年）,,,https://ameblo.jp/abukawa/,,
68,108,あべこうじ,阿部 公二（読み同じ）,,1975/2/19,,神奈川県横浜市,O型,178cm,共通語,,,,1997/1/1,,一般人女性（2000年2007年） 高橋愛（2014年 ）,,,https://web.archive.org/web/20080206084815/http://abekoji.laff.jp/,,
69,999,阿部昇二,常見馨,,1922/1/1,1987/9/26,,,,,,,,,,,,,,,
70,108,阿部智則,阿部 智則,,1979/8/29,,宮城県,A型,167cm,,宮城県石巻工業高等学校,,NSC東京校4期,1998/1/1,,,,,,,
71,146,阿部浩貴,,,1977/4/20,,北海道札幌市,A型,180cm,,,,札幌吉本のオーディション番組,1996/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=188,,
72,108,阿部磨有香,,,,,,,,,,,NSC東京校10期,2004/1/1,2014/1/1,,,,https://web.archive.org/web/20090421054106/http://syounensyoujo.laff.jp/,,
73,88,阿部育修,,,,,,,,,,,スクールJCA14期（阿部） スクールJCA15期（荒井）,2007/5/1,2010/11/27,,,,https://web.archive.org/web/20101004135335/http://www.pjinriki.com/pc/talent/beatlehawk/,,
74,85,阿部洋佑,阿部洋佑（あべようすけ）,あべちゃん,1989/5/29,,神奈川県,B型 ,180cm,,神奈川県立保土ヶ谷高等学校卒業,,ワタナベコメディースクール,2009/1/1,,,,,,,
75,53,安倍洋平,,,,,,,,,,,専門学校東京アナウンス学院芸能バラエティ科,2004/1/1,2012/5/1,,,,https://web.archive.org/web/20091118174518/http://www.sunmusic.org/profile/ampere.html,,
76,128,安部紀克,,,1992/6/12,,埼玉県,A型,169cm,,,,東京アナウンス学院（安部） ワタナベコメディスクール13期（薄）,2017/1/1,,,,,https://www.ohtapro.co.jp/talent/nagon.html,,
77,94,あべこ,,,,,,,,,,,,1998/1/1,2008/1/1,,,,https://ameblo.jp/sienne03,,
78,125,天野ひろゆき,天野 博之（あまの ひろゆき）,天野くん、天野っち（アマノッチ）,1970/3/24,,愛知県岡崎市,A型,163cm,三河弁,日本大学国際関係学部卒業,,現事務所直入,1991/1/1,,荒井千里,,,https://ameblo.jp/amablo2010,,
79,16,天野裕加里,,,,,,,,,,,ワタナベコメディスクール11期（天野）,2018/5/22,,,,,https://smaowarai.com/s/beachv/artist/h002?ima=0000&link=ROBO004,,
80,85,アマレス太郎,高八重正志,,1984/1/15,,埼玉県,A型,163cm,,日本体育大学医療専門学校,,,,,,,,,,
81,125,阿見201,阿見 靖士（あみ やすし）,,1979/7/22,,埼玉県,AB型,201cm,,,,,2004/1/1,,,,,,,
82,108,雨野宮将明,,雨ちゃん,1992/9/3,,東京都,,165cm,,,,NSC東京校17期,,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=6953,,
83,59,AMEMIYA,雨宮 陽平（あめみや ようへい）,,1978/11/10,,千葉県佐倉市,AB型,175 cm,標準語,千葉県立幕張総合高等学校,,NSC東京校3期,1997/1/1,2003/1/1,既婚,,,https://www.sma.co.jp/s/sma/artist/175?ima=0000#/news/0,,
84,45,アモーレ橋本,,橋本まさを（旧芸名）,1986/11/17,,福島県郡山市,O型,156cm,共通語,福島県立郡山北工業高等学校,,ワタナベコメディスクール2期 NSC東京校13期,2006/1/1,,未婚,,,https://ameblo.jp/masawohashimoto/,,
85,999,綾小路きみまろ,假屋 美尋（かりや よしひろ）,まろ、まろ様、ウィリアム、中高年のアイドル,1950/12/9,,鹿児島県曽於郡松山町 （現・鹿児島県志布志市）,O型,165 cm,,,5代目鈴々舎馬風,,1979/1/1,,既婚,,,,,
86,108,綾部祐二,綾部 祐二,,1977/12/13,,茨城県古河市,O型,167cm,共通語、茨城弁,茨城県立境西高等学校 （現・茨城県立境高等学校）,,NSC東京校5期,2000/1/1,,,,,,,
87,104,アユチャンネル,吉田 あゆ美（よしだ あゆみ）,,1996/4/2,,愛知県名古屋市,,,,椙山女学園大学,,ワタナベコメディスクール24期,2017/1/1,,,,,https://www.watanabepro.co.jp/mypage/40000217/,,
88,146,あらきあきゆき,荒木 彰之,,1975/9/20,,兵庫県尼崎市,B型,163cm,,,,1996年 NSC大阪校,1996/1/1,,あり,,,https://twitter.com/arakiakiyuki,,
89,999,荒木巴,荒木 智子,巴姫,1979/10/13,,新潟県長岡市,O型,164cm,,大阪芸術大学,,,,,未婚,,,https://www.arakitomoe.com/,,
90,999,新谷のぼる,,,,,,,,,,,,1975/1/1,1982/1/1,,,,,,
91,125,あらぽん,荒木 祐,,1985/10/13,,東京都足立区,B型,171cm,,東京都立小石川工業高等学校建設科,どぶろっく,東京都足立区,2009/1/1,,,,,http://asaikikaku.co.jp/talent/profile/anzenmanzai,,
92,72,有田哲平,有田 哲平,アリペイ、アリペー,1971/2/3,,熊本県 熊本市東区,不明,173cm,共通語 熊本弁,熊本県立済々黌高等学校卒業 （立教大学法学部中退）,コント山口君と竹田君,,1991/1/1,,既婚,有田真平（実弟） 矢野暢（叔父）,,https://naturaleight.co.jp/cream/,,
93,117,有野晋哉,,有野課長[注 1] 創造神[注 2],1972/2/25,,大阪府大阪市此花区,B型,180cm,大阪弁 共通語,大阪市立汎愛高等学校,,,1991/1/1,,北村祐子（2005年）,娘2人,,,,
94,108,有馬徹,,,,,,,,,,,NSC東京校15期,2010/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=6034,,
95,108,有宗高志,,,,,,,,,,,NSC東京校16期,2013/5/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=4409,,
96,45,有元さくら子,有元 桜子（ありもと さくらこ）,,2001/8/18,,東京都世田谷区,,170.8cm→ 172㎝,標準語,高校卒業,,,2018/1/1,,,,,http://www.kdashstage.jp/profile/archives/101,,
97,128,有吉弘行,,,1974/5/31,,広島県安芸郡熊野町,A型,172 cm,,広島県立熊野高等学校,オール巨人（1992年12月弟子入り）,,1994/1/1,,夏目三久（2021年）,,,https://www.ohtapro.co.jp/talent/ariyoshihiroiki.html,,
98,148,アル北郷,北郷淳,,1971/8/26,,東京都,B型,168cm,標準語,,ビートたけし,,1995/1/1,,未婚,,,,,
99,95,淡路幸誠,,,1990/2/14,,大阪府,A型,178cm,,,,目黒笑売塾,2014/4/1,,,,,http://com.horipro.co.jp/talent/kitune/,,
100,125,あんこ ,永田 越雅（ながた たけまさ）,あんこギャラクシー（旧芸名）,1987/6/16,,熊本県大津町,O型,174 cm,,九州ルーテル学院大学人文学部,,スクールJCA19期,2010/1/1,,,,,http://asaikikaku.co.jp/talent/profile/anko,,
101,104,アンゴラ村長,佐藤 歩実,,1994/5/17,,埼玉県本庄市,B型,150cm,,早稲田大学文学部,,ワタナベコメディスクール20期（アンゴラ）,2017/1/1,,,,,https://www.watanabepro.co.jp/mypage/4000086/,,
102,108,アンジェラ・デストロイ,非公開,,,,日本,,,,,,NSC東京校10期,2005/1/1,,,,,http://www.kisara.jp/talent/angela/,,
103,108,アンチエイジ徳泉,徳泉 信一（とくいずみ  しんいち）,とくさん,1989/4/23,,北海道野付郡別海町,O型 ,169cm,,横浜清風高等学校卒業,,NSC東京校14期,2009/1/1,,,,,https://web.archive.org/web/20191213053948/https://blogs.yahoo.co.jp/tokushimonomane_blog/folder/1036698.html,,
104,53,安藤なつ,安藤和代 （あんどう かずよ）,なっちゃん、なつ,1981/1/31,,,A型,170cm,標準語,東京都立南多摩高等学校（現東京都立南多摩中等教育学校）定時制 卒業,,日本 東京都,2004/1/1,,一般男性,,,https://sunmusicgp.co.jp/talent/maple_chogoukin/,https://www.youtube.com/channel/UCATjmZ4db3og4dsiRbenG5A,
105,999,安藤ヒロキオ,,,1982/6/19,,,,,,,,,,,,,,,,
106,999,安藤亮司,,,1976/11/8,,,B型,170 cm,,,,,,,,,,https://ameblo.jp/ananaaa/,,
107,999,アンドーひであき,浅岡 英昭,,1984/6/20,,静岡県静岡市,O型,170cm,,デザイン系専門学校卒業,,,2012/4/1,,独身,,,http://www.monomanek.com/ando.html,,
108,96,アントキの猪木,小松原裕,,1973/6/8,,茨城県新治郡千代田村（後の千代田町、現・かすみがうら市）,B型,183cm,共通語,専門学校中央工学校建築科,,,2004/1/1,,既婚,,,http://www.allj.co.jp/antokinoinoki/,,
109,108,アントニー ,堀田世紀アントニー,,1990/2/9,,東京都北区,A型,184.5cm,,,,NSC東京校15期,2009/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=3202,,
110,121,アントニオ小猪木,,,1971/8/22,,埼玉県志木市,B型,158cm,共通語,昭和第一学園高等学校卒業,,,2001/1/1,,瓜谷はるみ（2014年 ）,,,http://wgwf.com/kousei/pages/koinoki.htm,,
111,117,安藤亮之,,,,,,,,,,,,2015/1/1,,,,,https://www.shochikugeino.co.jp/talents/kazaanaakeruzu/,,
112,108,アンナ ,,,1975/4/24,,埼玉県川口市,O型,,標準語,,,,,,,,,,,
113,999,アンラッキー後藤,後藤 美葉（ごとう みよう）,,1977/6/27,,東京都目黒区,A型,158cm,,武蔵工業大学（現東京都市大学）,,,1993/1/1,2001/1/1,,,,,,
114,108,あんり ,向後 あんり,,1994/10/7,,東京都江戸川区,A型,,,,,NSC東京校18期（田辺、酒寄） NSC東京校20期（きりや、あんり）,2019/12/7,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=6892,https://www.youtube.com/channel/UCAwDbZG6UtUAa0s6tfgqQBA,
115,125,飯尾和樹,,,1968/12/22,,東京都世田谷区,O型,172 cm,標準語,東京学園高等学校,,,1991/1/1,,既婚,,,,,
116,104,イーグル溝神,,,,,,,,,,,NSC大阪校13期（イーグル、タイガー、サンキュー） NSC大阪校15期（ブー）,2001/1/1,,,,,http://choshinjuku.jp/,https://www.youtube.com/channel/UC8ao3oi5q70KccmjzrRKRYQ,
117,53,イーちゃん,鬼塚 和未（おにづか かずみ）,,1974/12/26,,大阪府大阪市住之江区,A型,165cm,,,,,2001/1/1,,,,,https://www.sunmusicgp.co.jp/talent/maria/,,
118,88,飯塚悟志,,さとし人力舎の火野正平,1973/5/27,,千葉県,O型,170cm,共通語,,,スクールJCA2期,1994/1/1,,藤田真由美（2014年）,車だん吉,,,,
119,999,イエス玉川,深見 輝義,,1947/9/7,,広島県三原市,,,,,玉川良一 三代目玉川勝太郎,,,,,,,,,
120,53,Yes!アキト,皆月 明人（みなつき あきと）,,1990/6/11,,北海道,,163cm,共通語,札幌市立大学,,夢カンパニー,2011/1/1,,,,,https://www.sunmusicgp.co.jp/talent/yes_akito/,,
121,999,伊賀健二,,,1976/12/10,,,A型,173 cm,,,,,,,既婚（離婚歴あり）,,,,,
122,999,いか八朗,近藤 角悟,,1934/4/12,2018/5/28,,,144cm,,,,,,,,,,,,
123,88,いかちゃん ,伊ヶ崎 恵（いかざき めぐみ）,,1996/1/3,,山口県周南市,B型,160cm,山口弁,中村女子高等学校,,スクールJCA23期,2014/1/1,,,,,http://www.pjinriki.com/talent/ikachan/,,
124,999,五十嵐サキ,五十嵐 亜紀子（いがらし あきこ）,,1973/12/1,,,A型,,,,,,,,,,,,,
125,125,井川修司,,,1973/5/17,,兵庫県神戸市,AB型,176cm,,,タモリ（ジョニ男）,,2003/1/1,,,,,https://ameblo.jp/iwaigawa/,,
126,146,いがわゆり蚊,井川 由梨香（いがわ ゆりか）,,1982/9/5,,大阪府豊中市,A型,155 cm,チェンバル語,京都嵯峨芸術大学（現・嵯峨美術大学）,,劇場爆弾岩63期 NSC大阪校27期,2005/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=744,,
127,999,イカ,筏津龍人,,1974/6/8,,兵庫県西宮市,A型,,,,,,,,,,,,https://www.youtube.com/channel/UCfNmgTYjvyvnqP9_W3wWjeg,
128,60,井口浩之,,,1983/5/6,,岡山県津山市,B型,157cm,,,,事務所オーディション,2008/11/1,,,,,http://www.titannet.co.jp/talent/westland/,https://www.youtube.com/user/WestlandTitan,
129,88,いく実,,,,,,,,,,,スクールJCA17期,2008/1/1,2013/1/1,,,,http://www.pjinriki.com/pc/talent/takeuchikeimai/,,
130,999,伊倉雄,伊倉雄,伊倉ゆう,1985/9/4,,,A型,179,,,,,,,,,,,,
131,108,池内祐介,池内 祐介,,1980/8/29,,福岡県福岡市,A型,170cm,共通語,,,,1994/4/1,,,,,,,
132,88,池上貴彦,,,,,,,,,,,スクールJCA13期,2004/1/1,2007/10/29,,,,,,
133,146,池田一真,池田 一真,池ちゃん,1984/1/17,,埼玉県入間市,A型,172 cm,共通語,埼玉県立所沢西高等学校,,NSC東京校9期,2003/1/1,,既婚,,,https://profile.yoshimoto.co.jp/talent/detail?id=471,,
134,999,池田啓汰,,,1979/8/24,,,B型,,,,,,,,,,,,,
135,104,池田57CRAZY,,,,,,,,,,,山口県宇部市（池田57CRAZY） 東京都西東京市（池田レイラ）,2016/1/1,,,,,https://www.watanabepro.co.jp/mypage/4000091/,,
136,108,池田周平,,,,,,,,,,,NSC大阪校27期,2005/1/1,,,,,,,
137,88,いけだてつや,,,,,,,,,,,スクールJCA10期（池田） スクールJCA11期（平井、花輪）,2002/6/1,2010/1/31,,,,,,
138,108,池田直人,,,,,ジョウト地方,A,,,,,NSC東京校18期,2016/2/1,,,,,https://www.youtube.com/channel/UC9UI_fNxTbfEJImAg5Y7pOw,https://www.youtube.com/channel/UC9UI_fNxTbfEJImAg5Y7pOw,
139,108,池田義之,,,,,,,,,,,,2010/4/1,2020/3/1,,,,https://web.archive.org/web/20120306195140/http://www.yoshimoto.co.jp/fukuoka/talent/bunbunmaru.html#talentprofile,,
140,104,池田レイラ,,,,,,,,,,,山口県宇部市（池田57CRAZY） 東京都西東京市（池田レイラ）,2016/1/1,,,,,https://www.watanabepro.co.jp/mypage/4000091/,,
141,108,池谷和志,,,1981/2/18,,神奈川県横浜市青葉区青葉台,A型,168cm,,体荏原高等学校中退,,NSC東京校8期,2003/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=612,https://www.youtube.com/joymanrap,
142,108,池乃めだか,中井 昭彦 （なかい あきひこ）,池やん めーちゃん ちっさいおっさん ショートマン,1943/7/3,,大阪府守口市,B型,149㎝,大阪弁,,,,1966/1/1,,既婚,妻・二女,,,,
143,42,池辺愛,,,,,,,,,,,東京メッツ,2005/11/1,2013/12/1,,,,http://moeyan.jp/,,
144,108,池谷賢二,,,,,,,,,,,渋谷公園通り劇場,1998/1/1,2020/6/22,,,,https://profile.yoshimoto.co.jp/talent/detail?id=415,,
