名前,本名,ニックネーム,生年月日,没年月日,出身地,血液型,身長,方言,最終学歴,師匠,出身,active,activeend,公式サイト,YouTube,enta_id,office_id
JP (ものまねタレント),前坂 淳平,,1983/7/31,,滋賀県,O型,183 cm,関西弁,,,NSC大阪校27期 ワタナベコメディスクール2期,2018/1/1,,https://www.ken-on.co.jp/artists/jp/,,,85
Kento fukaya,深谷 健人 （ふかや けんと）,,1989/9/10,,愛知県大府市大東町,O型,169cm,標準語,京都造形芸術大学芸術学部映画学科俳優コース,,NSC大阪校33期,1998/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=5110,,,31
KICK☆,,,1979/11/13,,東京都,O型,178cm,共通語,日本大学藝術学部写真学科,,目黒笑売塾3期生,2016/1/1,,https://ameblo.jp/kickhoshi,,90,90
KUMA,雛埜友也（ひなの ともや）,,1973/5/29,,大阪府,A型,,,,,,1999/1/1,,,,,8
LOVE ME DO (芸人),斉藤隆仁,ラブちゃん、ラブ八先生,1975/10/11,,千葉県大網白里市,O型,168 cm,標準語,千葉経済大学附属高等学校,,,2016/4/1,,https://ameblo.jp/lovemedo-goldenapple,,,48
Mr.オクレ,岡田 信行 （おかだ のぶゆき）,,1953/4/30,,兵庫県明石市,B型,160 cm,,兵庫県立明石南高等学校,,,2020/5/1,,https://profile.yoshimoto.co.jp/talent/detail?id=643,,99,99
Mr.シャチホコ,前田 晃克 （まえだ てるよし）,,1993/3/19,,愛知県あま市（旧・海部郡甚目寺町） （出生は名古屋市）。,O型,178 cm,,日本体育大学卒業,,,2016/1/12,,,,,5
Mr.ボールド,高取 宏輔,,1941/5/28,2003/10/27,岡山県津山市,,,,,,,2016/1/14,,,,,44
M高史,三上 高史,,1984/9/28,,東京都,A型,172cm,,,,,2001/1/1,2008/1/1,http://crossbrace.co.jp/business#/mtakashi,,,56
ORIE,小川 理絵,,1982/8/5,,佐賀県,O型,159cm,,専門学校九州ビジュアルアーツ,,,2008/1/12,,https://www.sunmusic-gp.co.jp/talent/orie/,,,71
POCOX御膳,髙鋒美希（たかほこ みき）,ポコ/御膳さん,1986/12/25,,長崎県諫早市,AB型,156cm,,県立長崎シーボルト大学（現長崎県立大学）情報メディア学科卒業,,,2017/1/14,,,,,40
Poppo,,,,,,,,,,,放送芸術学院専門学校(のぞみ) 松竹芸能タレントスクール,2018/1/1,,https://www.shochikugeino.co.jp/talents/dokidoki-junjogirls/,,,81
REINA (タレント),,,1988/4/20,,アメリカ合衆国・ニュージャージー州,,,,,,,2017/1/1,,,,,52
RICAちゃん,齋藤 直哉,,1979/1/18,,静岡県浜松市,AB型,,,,,松竹芸能タレントスクール東京校10期,2017/1/1,,https://www.shochikugeino.co.jp/talents/ricachan,,214,14
Ryu (ものまねタレント),,,1974/4/26,,,,,,,,,2017/1/1,,https://yamanoitakashi.com/,,,22
R藤本,藤本 博史,王子、ベジータ、Rさん、藤本さん,1981/3/16,,福岡県久留米市,A型,168cm,,関西大学中退,,インディーズ,2005/1/1,2010/1/1,https://ameblo.jp/rfujimoto/,https://www.youtube.com/user/rfujimotochannel,154,54
SAKURAI,櫻井 徹 （さくらい とおる）,,1978/10/26,,徳島県,A型,175 cm,,鳴門市立鳴門工業高等学校卒業,,,1990/1/1,,https://www.sma.co.jp/s/sma/artist/563?ima=0000#/news/0,,249,49
Satomi (お笑い芸人),嶋岡 里美（しまおか さとみ）,,1978/8/22,,大阪府,O型,161cm,,,,,1998/1/18,2003/1/1,https://ammypark.co.jp/stm/,,126,26
Seiko,,,1968/11/19,,埼玉県,B型,,,,,,1991/1/1,1997/1/1,,,,76
Seiko。,,,1988/4/1,,東京都,,,,,,,2020/1/1,,,,,50
TAIGA,福谷 大河（ふくたに たいが）,,1975/11/20,,神奈川県川崎市,O型,173cm,共通語,高山短期大学卒業,,,2013/1/1,,https://www.sunmusic-gp.co.jp/talent/taiga/,,203,3
TEAM近藤,近藤 慎治 （こんどう しんじ）,,1983/5/5,,東京都練馬区,A型,,,東京国際大学卒業,,ワタナベコメディスクール8期 NSC東京校15期,2017/1/1,,,,,50
Theかれー王,金子載（かねこ はじめ）,,1968/4/3,,東京都,O型,176cm,,,,,2000/1/1,2006/1/1,,,,73
THE石原,石原 正（いしはら ただし）,,1978/7/5,,大阪府箕面市,B型,172cm,関西弁,箕面自由学園高校卒業,堀内健、原田泰造,,1989/1/1,2019/1/1,https://ameblo.jp/theishihara/,,212,12
TSUMIKI☆YANKE,村上 つみき（むらかみ つみき）,,1989/12/24,,大阪府大阪市,O型,164cm,大阪弁,近畿大学文芸学部芸術学科 造形芸術専攻油彩画コース,,NSC大阪校35期,2000/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=6704,,,33
Yes!アキト,皆月 明人（みなつき あきと）,,1990/6/11,,北海道,,163cm,共通語,札幌市立大学,,夢カンパニー,2008/1/11,,https://www.sunmusic-gp.co.jp/talent/yes_akito/,,,34
YUJI KOITO,小糸 雄司（こいと ゆうじ）,,1979/6/7,,東京都東久留米市,O型,173cm,,,,NSC東京校10期,2017/1/1,,http://blog.livedoor.jp/koitochikuwa/,,5,5
ZAZY,赤井 俊之（あかい としゆき）,,1988/6/27,,大阪府泉南市,,175cm,大阪弁,東京理科大学（中退）,,NSC大阪校33期,1998/1/14,2015/1/11,https://profile.yoshimoto.co.jp/talent/detail?id=6504,https://www.youtube.com/channel/UC4B8808RwZeLR5nR7GkodGg,,29
Β (お笑い芸人),,,1983/3/11,,東京都,,168cm,,,,,1998/1/1,,http://wahahahompo.co.jp/member_profile/beta.html,,,80
あぁ?しらき,白木千春（しらき ちはる・旧姓),,1976/11/21,,福岡県,O型,157 cm,,,サンドウィッチマン,,2000/1/1,2014/1/1,https://grapecom.jp/talent_writer/aa-shiraki/,https://www.youtube.com/user/UC2NSOy0Qbm8DDOFhX_LiHGg,377,77
アイアム野田,,,,,,,,,,,スクールJCA7期（野田・おおかわら） スクールJCA8期（和田）,2004/1/1,,http://www.p-jinriki.com/talent/onigashima/,,284,84
あいきけんた,相木 健太（あいき けんた）,,1995/2/25,,北海道苫小牧市,B型,179cm,共通語,明治大学政治経済学部,,,2020/5/1,,http://zazenpro.com/aigi.html,,,41
アイクぬわら,アイク・ヌワラ,アイク、ぬわちゃん、アイちゃん、アレックス・ジャクソン,1986/6/5,,アメリカ合衆国・ニューヨーク州マンハッタン区,B型,180 cm,関西弁,ワシントン州私立工科大学卒業,,超新塾のオーディション（ワタナベコメディスクール13期生と同期）,2007/1/1,,https://www.watanabepro.co.jp/mypage/40000018/,https://www.youtube.com/channel/UC5Mjg7-BzY896fGkDoLsejQ,,26
あいすけ,青木 愛,,1987/4/23,,神奈川県平塚市,B型,163cm,共通語,神奈川大学人間科学部卒業,,NSC東京校14期,2010/1/1,,https://web.archive.org/web/20100916210653/http://aisuke.laff.jp/blog/,,,84
アイドル鳥越,,,,,,,,,,,東京アナウンス学院,2012/1/1,,,,,10
アイパー滝沢,滝沢 敦史（たきざわ あつし）,,1974/9/18,,埼玉県児玉郡美里町,B型,168cm,,埼玉県立児玉農工高等学校 （現・埼玉県立児玉白楊高等学校）中退,,NSC東京校9期,1978/1/1,,,,82,82
あいはら雅一,會原 雅一（あいはら まさかず）,パラ パラちゃん パラさん,1969/9/6,,大阪府岸和田市,A型,172cm,大阪弁,大阪府立泉鳥取高等学校,,NSC大阪校10期,1965/1/1,,,,307,7
あかつ,赤津 大輔（あかつ だいすけ）,,1981/5/22,,福島県いわき市,A型,165cm,福島弁,仙台大学卒業,,NSC東京校10期,1995/1/1,,http://konjo.jp/talent/akatsu/,,92,92
アキ (お笑い芸人),荒木 良明（あらき よしあき）,,1969/8/22,,大阪府岸和田市,A型,174 cm,関西弁,奈良県立榛原高等学校,,,1992/1/1,2006/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=236,https://www.youtube.com/channel/UCQNsvJpVb3IWTAkTEm_QxsA,328,28
アキラ100%,大橋 彰（おおはし あきら）,アキパー,1974/8/15,,埼玉県秩父市,A型,170 cm,,駿河台大学法学部卒業,,,2003/1/1,,https://www.sma.co.jp/s/sma/artist/416?ima=0000#/news/0,,81,81
アゲノ勘太,上野 倖平,アゲノ、勘太、あげかん,1998/12/28,,神奈川県横浜市,O型,,標準語,,,NSC東京校23期,2008/1/1,2015/1/1,,https://www.youtube.com/channel/UCxVK0WY9I-vnsGr3eu_Ak1Q,,79
あご勇,鵜沢 勇,,1957/8/14,,,,,,,,,2017/1/1,2018/1/1,,,,15
アジアンビューティー (お笑い芸人),,,1987/11/22,,千葉県船橋市,O型,153cm,,,,,2014/1/1,,http://www.n2-tokyo.co.jp/woman_shousai/view.php?kubun=&kensaku_mode=search&key=1&page=0&shouhin=2037&image_mode=image_link,,232,32
あしべ,関根 祐太,あしべ,1989/1/28,,神奈川県,A型,164cm,共通語,,,,1999/1/1,2005/1/1,https://www.watanabepro.co.jp/mypage/40000090/,,,61
あそどっぐ,阿曽太一,,1978/12/29,,佐賀県みやき町,O型,150センチメートル,,福岡県立筑後養護学校赤坂分校,,,2015/1/1,2018/1/1,https://ameblo.jp/asodog/,https://www.youtube.com/user/asodog33,,20
あっぱれコイズミ,小泉 信,,1979/7/13,,神奈川県川崎市,O型,,,武相高等学校卒業,,NSC東京校4期,1999/1/1,2002/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=6672,,,96
アナログタロウ,齊藤大典,,1973/8/28,,東京都,AB型,180cm,,,,プライムワン・タレントスクール3期生,2006/1/14,,,,328,28
あばれる君,古張 裕起（こばり ひろき）,,1986/9/25,,福島県東白川郡矢祭町,A型,179cm,共通語,駒澤大学法学部卒業,,ワタナベコメディスクール9期,2008/1/1,2016/1/1,https://www.watanabepro.co.jp/mypage/40000027/,https://www.youtube.com/channel/UC-sUWj7fzOBSyhT_ohEGvZA,,82
あべこ,,,,,,,,,,,,2016/1/1,,https://ameblo.jp/sienne03,,184,84
あべこうじ,阿部 公二（読み同じ）,,1975/2/19,,神奈川県横浜市,O型,178cm,共通語,,,,2006/1/1,,https://web.archive.org/web/20080206084815/http://abekoji.laff.jp/,,76,76
アベディン・モハメッド,,,,,,,,,,,,2020/1/1,,,,42,42
アマレス太郎,,,,,,,,,,,,2004/1/1,2012/1/1,,,,1
アモーレ橋本,,,1986/11/17,,福島県郡山市,O型,156cm,共通語,福島県立郡山北工業高等学校,,ワタナベコメディスクール2期 NSC東京校13期,2003/1/1,2009/1/16,https://ameblo.jp/masawo-hashimoto/,,165,65
アユチャンネル,吉田 あゆ美（よしだ あゆみ）,,1996/4/2,,愛知県名古屋市,,,,椙山女学園大学,,ワタナベコメディスクール24期,2017/1/1,,https://www.watanabepro.co.jp/mypage/40000217/,,,63
あらきあきゆき,荒木 彰之,,1975/9/20,,兵庫県尼崎市,B型,163cm,,,,1996年 NSC大阪校,2004/1/1,2009/1/1,https://twitter.com/arakiakiyuki,,55,55
あらぽん,,,,,,,,,,どぶろっく,東京都足立区,2001/1/1,,http://asaikikaku.co.jp/talent/profile/anzenmanzai,,,93
アル北郷,北郷淳,,1971/8/26,,東京都,B型,168cm,標準語,,ビートたけし,,1996/1/1,,,,444,44
あんこ (お笑い),永田 越雅（ながた たけまさ）,,1987/6/16,,熊本県大津町,O型,174 cm,,九州ルーテル学院大学人文学部,,スクールJCA19期,2010/1/1,,http://asaikikaku.co.jp/talent/profile/anko,,,57
アンゴラ村長,,,,,,,,,,,ワタナベコメディスクール20期（アンゴラ）,2000/1/1,2004/1/16,https://www.watanabepro.co.jp/mypage/4000086/,,,64
アンジェラ・デストロイ,非公開,,,,日本,,,,,,NSC東京校10期,2007/1/1,,http://www.kisara.jp/talent/angela/,,108,8
アンチエイジ徳泉,徳泉 信一（とくいずみ  しんいち）,とくさん,1989/4/23,,北海道野付郡別海町,O型 ,169cm,,横浜清風高等学校卒業,,NSC東京校14期,1998/1/1,2020/1/1,https://web.archive.org/web/20191213053948/https://blogs.yahoo.co.jp/tokushimonomane_blog/folder/1036698.html,,,88
アンドーひであき,浅岡 英昭,,1984/6/20,,静岡県静岡市,O型,170cm,,デザイン系専門学校卒業,,,2003/1/17,,http://www.monomane-k.com/ando.html,,,98
アントキの猪木,小松原裕,,1973/6/8,,茨城県新治郡千代田村（後の千代田町、現・かすみがうら市）,B型,183cm,共通語,専門学校中央工学校建築科,,,2009/1/1,,http://www.allj.co.jp/antokinoinoki/,,500,100
アントニー (お笑い芸人),,,,,,,,,,,NSC東京校15期,2016/1/1,2018/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=3202,,,94
アントニオ小猪木,,,1971/8/22,,埼玉県志木市,B型,158cm,共通語,昭和第一学園高等学校卒業,,,2006/1/1,,http://wgwf.com/kousei/pages/koinoki.htm,,330,30
アンナ (お笑い芸人),,,1975/4/24,,埼玉県川口市,O型,,標準語,,,,2005/1/14,,,,,38
アンラッキー後藤,後藤 美葉（ごとう みよう）,,1977/6/27,,東京都目黒区,A型,158cm,,武蔵工業大学（現東京都市大学）,,,2000/1/14,,,,380,80
あんり (お笑い芸人),,,,,,,,,,,NSC東京校18期（田辺、酒寄） NSC東京校20期（きりや、あんり）,2007/1/1,2021/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=6892,https://www.youtube.com/channel/UCAwDbZG6UtUAa0s6tfgqQBA,,91
イーグル溝神,,,,,,,,,,,NSC大阪校13期（イーグル、タイガー、サンキュー） NSC大阪校15期（ブー）,2008/1/19,,http://choshinjuku.jp/,https://www.youtube.com/channel/UC8ao3oi5q70KccmjzrRKRYQ,355,55
イーちゃん,鬼塚 和未（おにづか かずみ）,,1974/12/26,,大阪府大阪市住之江区,A型,165cm,,,,,1998/1/1,,https://www.sunmusic-gp.co.jp/talent/maria/,,382,82
イエス玉川,深見 輝義,,1947/9/7,,広島県三原市,,,,,玉川良一 三代目玉川勝太郎,,2003/1/1,2007/1/1,,,,94
イカ (ブロガー),筏津龍人,,1974/6/8,,兵庫県西宮市,A型,,,,,,2012/1/1,,,https://www.youtube.com/channel/UCfNmgTYjvyvnqP9_W3wWjeg,,26
いかちゃん (お笑い芸人),伊ヶ崎 恵（いかざき めぐみ）,,1996/1/3,,山口県周南市,B型,160cm,山口弁,中村女子高等学校,,スクールJCA23期,2018/1/1,,http://www.p-jinriki.com/talent/ikachan/,,,75
いがわゆり蚊,井川 由梨香（いがわ ゆりか）,,1982/9/5,,大阪府豊中市,A型,155 cm,チェンバル語,京都嵯峨芸術大学（現・嵯峨美術大学）,,劇場爆弾岩63期 NSC大阪校27期,2009/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=744,,99,99
いか八朗,近藤 角悟,,1934/4/12,2018/5/28,,,144cm,,,,,2001/1/1,,,,,64
いく実,,,,,,,,,,,スクールJCA17期,1985/1/1,,http://www.p-jinriki.com/pc/talent/takeuchikeimai/,,,38
いけだてつや,,,,,,,,,,,スクールJCA10期（池田） スクールJCA11期（平井、花輪）,2008/1/1,2009/1/1,,,423,23
いしいそうたろう,石井 壮太郎,,1974/2/12,,東京都,,177cm,,,,NSC東京校2期,2004/1/1,2015/1/1,https://web.archive.org/web/20140217213837/http://blogs.yahoo.co.jp/ishiidesu_blog,,,21
いしのようこ,石野 陽子 （読み同じ、旧芸名）,,1968/2/20,,,AB型,165 cm,,,,,1994/1/1,,http://www.grand-slam.co.jp/Artist/yokoIshino.html,,,72
イジリー岡田,岡田 昇（おかだ のぼる）,,1964/9/23,,東京都北区,A型,169.4cm,共通語,東放学園専門学校,,,1975/1/1,,,,208,8
いずみっくす,,,,,,,,,,,,1999/1/1,,,,,63
いずみ包,泉地 紀明（いずみち のりあき）,,1975/8/15,,埼玉県,AB型,166cm,,いわき明星大学,,,1999/1/1,,http://blog.livedoor.jp/poizm/,,,44
いっすねー!山脇,山脇 充（やまわき みつる）,,1985/9/28,,福岡県糟屋郡,O型,,,,,NSC東京校14期,2016/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=6133,,,77
いとうあさこ,伊藤 麻子,,1970/6/10,,東京都渋谷区,AB型,162cm,共通語,雙葉高等学校卒業,,舞台芸術学院ミュージカル別科,1994/1/1,2005/1/1,https://www.maseki.co.jp/talent/itohasako,,64,64
いのけん,井上健太郎（いのうえけんたろう）,いのけん,1989/8/30,,福岡県 北九州市,B,170cm,,,,専門学校東京アナウンス学院芸能バラエティ科,2009/1/1,2013/1/1,,,,64
イマニヤスヒサ,今仁 靖久（読み同じ）,,1975/5/22,,千葉県,B型,178cm,共通語,,,,1997/3/1,,http://com.horipro.co.jp/talent/imaniyasuhisa/,,142,42
いま寛大,,,,,,,,,,藤山寛美（はな寛太） 曾我廼家十吾（いま寛大） 夢路いとし・喜味こいし,,2012/1/1,,,,72,72
イモトアヤコ,（出生名）井本 絢子,珍獣ハンター・イモト,1986/1/12,,鳥取県西伯郡伯耆町,O型,158 cm,共通語、雲伯方言,文教大学情報学部広報学科,,ワタナベコメディスクール3期,2009/1/1,2014/1/1,https://www.watanabepro.co.jp/mypage/30000016/,,211,11
インコさん,成田優介,リタ・ジェイ,1976/6/8,,北海道,O型,182 cm,,,,,2011/1/1,,,,,58
インタビューマン山下,山下 栄緑（やました しげのり）,ヤッシー,1968/10/29,,香川県高松市,O型,170cm,関西弁,摂南大学法学部,,NSC大阪校10期,1997/1/1,2019/1/1,https://web.archive.org/web/20140217225750/http://blogs.yahoo.co.jp/yamasita_shigenori_blog,,326,26
ウーイェイよしたか,,,,,,,,,,,オーディション,1998/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=630,,463,63
ウエスP,植草和久（うえくさ かずひさ）,,1987/11/15,,埼玉県上尾市,A型,163 cm,,埼玉県立大宮東高等学校卒業,,NSC東京校12期,2017/1/1,2014/1/18,https://profile.yoshimoto.co.jp/talent/detail?id=6639,,166,66
うじいえともみ,,,,,,,,,,,,1997/1/1,2006/1/1,http://id1.fm-p.jp/8/michibata/,,375,75
ウッチィ,内田 桂子（うちだ けいこ）,師匠,1979/4/23,,愛知県岡崎市,O型,151cm,,大阪芸術大学芸術学部舞台芸術学科演技・演出コース,,,2010/1/1,,,,4,4
うつのみや八郎,宇都宮 圭介 （うつのみや けいすけ）,,1973/12/8,,愛媛県,A型,160cm,,,,,2007/1/18,,,,185,85
ウド鈴木,鈴木 任紀（すずき ひでき）,ウドちゃん、独活野大木、ウッディー,1970/1/19,,山形県東田川郡藤島町現：鶴岡市）,AB型,178cm,共通語・庄内弁,山形県立庄内農業高等学校,,TEAM童里夢,2004/1/1,,,,276,76
うな加藤,,,,,,,,,,,NSC大阪校6期（田中）,2001/1/1,,http://www.manzaikyokai.org/entertainer/prinprin/,,376,76
ウメ (お笑い芸人),大久保 雅子（おおくぼ まさこ）,,1979/1/6,,鹿児島県,A型,151cm,共通語、鹿児島弁,鹿児島短期大学,,NSC東京校7期,2008/1/1,2016/1/1,https://neet-project.com/profile/ume/index.html,,393,93
うをとも,,うを姐さん　うをちゃん,1974/9/25,,山口県,,,共通語,,,NSC女性タレントコース4期生,2018/1/1,,,,,27
エアコンぶんぶんお姉さん,保坂 ななみ （ほさか ななみ）,こんねき,2000/3/13,,山梨県笛吹市,,,,専修大学中退,,NSC東京校26期,2000/1/1,2015/1/1,,,,100
エイテツ,,,,,,,,,,,,1999/1/1,,,,476,76
エスパー伊東,伊東 万寿男（いとう ますお）,,1960/12/26,,,,165 cm,,埼玉県立和光高等学校,,日本 東京都,2007/1/1,,,,,35
エッグ矢沢,矢沢誠仁（やざわまさひと）,,1986/2/17,,埼玉県富士見市,O型,174?cm (5?ft 9?in),共通語,成蹊大学法学部法律学科卒業,,NSC東京校15期,2007/1/1,2009/1/1,,,,1
エド・はるみ,,,1964/5/14,,東京都,A型,155 cm,共通語,慶應義塾大学大学院システムデザイン・マネジメント研究科修士課程,,円・演劇研究所（女優） NSC東京校11期（芸人）,2017/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=748,https://www.youtube.com/channel/UCm745dvqmbPPcomjMO54AuQ,147,47
えとう窓口,,,,,,,,,,,NSC大阪校18期（えとう）,2010/1/1,2019/1/1,https://www.watanabepro.co.jp/mypage/4000006/,,283,83
エハラマサヒロ,江原 正洋（読み同じ）,まーくん,1982/5/29,,大阪府東大阪市,B型,175cm,共通語、大阪弁,大阪教育大学附属高等学校天王寺校舎,,NSC大阪校24期,2009/2/1,2014/12/1,https://profile.yoshimoto.co.jp/talent/detail?id=2533,https://www.youtube.com/channel/UCf5iV0mjb644gOTV4NAiN2Q,268,68
エリザベータ (お笑い芸人),,,1986/10/25,,ラトビア・ソビエト社会主義共和国 リガ市,A型,166㎝,ラトビア語,,,松竹芸能タレントスクール20期生,1996/1/1,2009/1/1,https://www.shochikugeino.co.jp/talents/erizab,,,40
エル上田,,,,,,,,,,,NSC東京校8期（エル上田）,2000/1/1,,https://www.maseki.co.jp/talent/eru_kabuki,,,96
お?い!久馬,久馬 歩（きゅうま あゆむ）,,1972/7/22,,大阪府岸和田市,不明,,大阪弁,岸和田市立産業高等学校商業科卒業,,NSC大阪校10期,1991/1/11,,https://ameblo.jp/kyuuma-blog/,,316,16
おいでやす小田,小田 芳裕（おだ よしひろ）,,1978/7/25,,京都府京都市,A型,173 cm,京都弁,京都府立北稜高等学校,,NSC大阪校23期,2005/1/14,2010/1/17,https://profile.yoshimoto.co.jp/talent/detail?id=3373,,263,63
おいなりさん (お笑い芸人),紺野 幸平（こんの こうへい）,,1986/7/27,,福島県,A型,167cm,,,,,2001/1/1,2006/1/1,http://grapecom.jp/talents/oinarisan,,,37
おいなり達也,林 達也(はやし たつや),,1994/12/16,,北海道,A型,,,札幌放送芸術&ミュージック・ダンス専門学校,,,2010/1/1,,,,,88
おおかわら,,,,,,,,,,,スクールJCA7期（野田・おおかわら） スクールJCA8期（和田）,1994/1/1,2005/1/1,http://www.p-jinriki.com/talent/onigashima/,,285,85
おおすかてんちょ?,大須賀 顕（おおすか あきら）,てんちょ?,1983/9/21,,静岡県湖西市,A型,178cm,共通語,静岡県立浜松湖南高等学校,,NSC東京校14期,2012/1/1,2019/1/1,,,,99
おおたさゆり,,,,,,,,,,,スクールJCA18期（白幡）,1999/1/1,2005/1/1,http://www.twinkle-co.co.jp/talent/syoujojanpu-zu.html,,,85
おーちゃん (お笑い芸人),,,,,,,,,,,NSC東京校16期,1952/1/1,1993/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=6567,,,78
おおのまりあ,,,,,,,,,,,東京アナウンス学院,2006/1/1,,,,,12
おーぷん金子,金子祐也,,1974/5/6,,,,167,,,,,1967/1/1,2009/1/1,,,,23
オール巨人,南出 繁 みなみで しげる,モンスター 吉本の風紀委員長 全部ジャイアンツ 巨人師匠,1951/11/16,,大阪府大阪市天王寺区,B型,184 cm,大阪弁,大阪商業高等学校 （現・大商学園高等学校）,岡八朗,,1966/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=245,,106,6
オール阪神,,,,,,,,,,,,1995/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=244,,110,10
おかけんた,,,,,,,,,,岡八郎,NSC大阪校1期（けんた）,2006/1/1,,http://www.fandango.co.jp/talent_prf/action/TalentProfileDetailSearchAction?unitId=10024&talentId=0,,175,75
おかもとまり,岡本 麻里,,1989/12/13,,群馬県藤岡市,O型,156cm,群馬弁,昭和女子大学短期大学部,,,2017/1/13,,https://html.co.jp/okamotomari1989/,,196,96
おかゆうた,,,,,,,,,,岡八郎,NSC大阪校1期（けんた）,1996/1/1,2001/1/1,http://www.fandango.co.jp/talent_prf/action/TalentProfileDetailSearchAction?unitId=10024&talentId=0,,176,76
おかゆ太郎,渡辺 剛士（わたなべ たかお）,,1977/12/19,,新潟県新潟市,A型,168cm,共通語,日本映画学校,,,2017/1/1,,https://shu-pro.co.jp/talent/okayutaro/,,151,51
オカリナ (お笑い芸人),,,,,,,,,,,NSC東京校15期,2014/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=4253,https://www.youtube.com/channel/UCGuUAH4Md1uA7KERfWZ2wAQ,,30
おぎたともこ,補陀 知子（おぎた ともこ）,,1979/5/31,,広島県,B型,157cm,広島弁,,,,2013/1/1,,http://www.ohtapro.co.jp/jrlive/konomi/,,88,88
オコチャ (お笑い芸人),冨田 雄大（とみた たけひろ）,,1978/11/21,,,,,,,,NSC東京校4期,1989/1/1,,,,,90
おさる,大森 晃（おおもり あきら）,,1968/9/19,,大阪府摂津市,AB型,171 cm,共通語、大阪弁,創価大学,,,2012/1/1,2013/1/1,http://asaikikaku.co.jp/talent/profile/osaru,,303,3
オジョー,藤田 文香（ふじた ふみか）,,1981/6/14,,北海道岩見沢市,O型,154cm,共通語,駒澤大学附属岩見沢高等学校卒業,,NSC東京校8期 NSC東京校俳優コース3期,2016/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=589,,440,40
おせつ,,,,,,,,,,,,2007/7/1,,http://talents.kpro-web.com/osetsutokyota/,,,46
